Street_ID,Base_Street_ID,Alias Type,Pre Dir,Street Name,Type,Suffix,FULLNAME,Tiered?,Min Address,Max Address,Chicago Coord,Chicago Coord Dir
340,0,,E,STEVENSON IB LSD SB,ER,,E STEVENSON IB LSD SB ER,,400,499,0
341,0,,E,STEVENSON KING DR,ER,,E STEVENSON KING DR ER,,200,399,0
342,0,,E,STEVENSON KING DR,XR,,E STEVENSON KING DR XR,,100,337,0
343,0,,E,STEVENSON STATE ST,ER,,E STEVENSON STATE ST ER,,1,99,0
344,0,,E,STEVENSON STATE ST,XR,,E STEVENSON STATE ST XR,,17,135,0
345,0,,E,SUPERIOR,ST,,E SUPERIOR ST,,1,499,732,N
346,0,,E,VAN BUREN,ST,,E VAN BUREN ST,,1,99,400,S
347,0,,E,WACKER,DR,,E WACKER DR,,0,599,0
348,0,,E,WACKER LOWER,DR,,E WACKER LOWER DR,,0,499,0
349,0,,E,WACKER LOWER,PL,,E WACKER LOWER PL,,23,99,0
350,0,,E,WACKER LOWER,SR,,E WACKER LOWER SR,,442,488,0
351,0,,E,WACKER NB LSD LOWER,ER,,E WACKER NB LSD LOWER ER,,491,598,0
352,0,,E,WACKER,PL,,E WACKER PL,,50,99,300,N
353,0,,E,WACKER RAMP,,,E WACKER RAMP,,300,433,0
354,0,,E,WACKER RAMP,ER,,E WACKER RAMP ER,,308,498,0
355,0,,E,WACKER SB LSD LOWER,ER,,E WACKER SB LSD LOWER ER,,501,599,0
356,0,,E,WALDRON,DR,,E WALDRON DR,,406,599,1600,S
357,0,,E,WALTON,PL,,E WALTON PL,,1,299,932,N
358,0,,E,WALTON,ST,,E WALTON ST,,1,136,932,N
359,0,,E,WASHINGTON,ST,,E WASHINGTON ST,,1,99,100,N
360,0,,E,WATERSIDE,DR,,E WATERSIDE DR,,400,499
361,0,,E,WOODLAND PARK,,,E WOODLAND PARK,,0,699,0
362,0,,N,ABERDEEN,ST,,N ABERDEEN ST,,1,799,1100,W
363,0,,N,ACADEMY,PL,,N ACADEMY PL,,1,99,812,W
364,0,,N,ADA,ST,,N ADA ST,,1,1699,1324,W
365,0,,N,ALBANY,AVE,,N ALBANY AVE,,1,7599,3100,W
366,0,,N,ALBANY,DR,,N ALBANY DR,,1542,1599,3100,W
367,0,,N,ALGONQUIN,AVE,,N ALGONQUIN AVE,,6416,6999,5600,W
368,0,,N,ALLEN,AVE,,N ALLEN AVE,,2900,3099,3500,W
369,0,,N,ALTA VISTA,TER,,N ALTA VISTA TER,,3800,3899,1054,W
370,0,,N,ANCHOR,DR,,N ANCHOR DR,,3200,3261,2728,W
371,0,,N,ANTHON,AVE,,N ANTHON AVE,,4500,4799,8534,W
372,0,,N,ARMOUR,ST,,N ARMOUR ST,,400,799,1500,W
373,0,,N,ARMSTRONG,CT,,N ARMSTRONG CT,,6800,6950,12130,W
374,0,,N,ARMSTRONG,RD,,N ARMSTRONG RD,,6900,6937,12040,W
